15:08:46 407	Load Setting ok
15:08:46 463	RKAndroidTool v1.3.5.0 Start Run
15:08:46 464	Scan thread:7132
15:08:46 466	Info:(thread=6292)IoControlProc-->DeviceIoControl In
15:08:46 467	Info:(thread=6292)IoControlProc-->DeviceIoControl Out,ret=1,err=183
15:08:46 467	Info:(thread=5252)IoControlProc-->DeviceIoControl In
15:08:46 468	Info:(thread=5252)IoControlProc-->DeviceIoControl Out,ret=1,err=183
15:08:46 477	Info:(thread=6384)IoControlProc-->DeviceIoControl In
15:08:46 479	ProcessID:6764,ThreadID:7092,RefCount:0
15:08:46 479	Info:(thread=6384)IoControlProc-->DeviceIoControl Out,ret=1,err=183
15:08:46 480	ProcessID:6764,ThreadID:7132,RefCount:0
15:08:46 481	Info:(thread=4624)IoControlProc-->DeviceIoControl In
15:08:46 482	ProcessID:6764,ThreadID:5252,RefCount:0
15:08:46 483	Info:(thread=4624)IoControlProc-->DeviceIoControl Out,ret=1,err=183
16:00:49 262	INFO:执行开始
16:00:49 264	Loader Device Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=4084
16:00:49 265	INFO:开始测试设备
16:00:49 267	INFO:测试设备成功
16:00:49 268	INFO:开始写入ID_BLOCK
16:00:49 281	Flash Chip Information:
16:00:49 282	NO		SIZE(MB)	Manufacturer
16:00:49 282	----------------------------------------------
16:00:49 283	0		4096MB	MICRON
16:00:49 284	----------------------------------------------
16:00:49 284	INFO:BuildFlashStateMap start
16:00:49 285	INFO: FindAllIDB start
16:00:49 288	INFO:UpdateIDBData start
16:00:49 308	INFO:Serial Number(0):
16:00:49 309	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
16:00:49 309	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
16:00:49 309	INFO:UID(30):
16:00:49 310	00000000: 52 4F 43 4B 43 48 49 50 BB 1B 3C 00 42 18 FA E5 
16:00:49 310	00000010: 16 F8 D5 47 9B 6F 05 03 00 01 36 DB 63 C8 
