16:38:24 298	Load Setting ok
16:38:24 354	RKAndroidTool v1.3.5.0 Start Run
16:38:24 354	Scan thread:9292
16:38:24 357	Info:(thread=6564)IoControlProc-->DeviceIoControl In
16:38:24 357	Info:(thread=6564)IoControlProc-->DeviceIoControl Out,ret=1,err=183
16:38:24 358	Info:(thread=8824)IoControlProc-->DeviceIoControl In
16:38:24 359	Info:(thread=8824)IoControlProc-->DeviceIoControl Out,ret=1,err=183
16:38:24 367	Info:(thread=5604)IoControlProc-->DeviceIoControl In
16:38:24 368	Info:(thread=5604)IoControlProc-->DeviceIoControl Out,ret=1,err=183
16:38:24 369	Info:(thread=9200)IoControlProc-->DeviceIoControl In
16:38:24 370	Info:(thread=9200)IoControlProc-->DeviceIoControl Out,ret=1,err=183
16:38:24 373	ProcessID:4320,ThreadID:9500,RefCount:0
16:38:24 391	ProcessID:4320,ThreadID:9292,RefCount:0
16:38:58 411	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=8424
16:38:58 413	INFO:开始测试设备
16:38:58 415	INFO:执行开始
16:38:58 418	INFO:测试设备成功
16:38:58 421	INFO:开始下载文件
16:38:58 424	INFO: Start to download files to flash,backup offset=0x18000
16:38:58 429	INFO:开始下载文件到Flash
16:38:58 430	Info:RKA_File_Download start,file=boot,offset=0x8000
16:38:59 669	INFO: Download files to flash finished,Total(6029312)B
16:38:59 670	INFO: Start to check data
16:38:59 674	INFO:开始校验下载数据
16:38:59 676	Info:RKA_File_Check start,file=boot,offset=0x8000
16:39:00 033	INFO:下载文件成功,耗时(1622MS)
16:39:00 037	INFO:执行成功
16:52:11 897	INFO:执行开始
16:52:11 903	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=11232
16:52:11 905	INFO:开始测试设备
16:52:11 908	INFO:测试设备成功
16:52:11 911	INFO:开始下载文件
16:52:11 915	INFO: Start to download files to flash,backup offset=0x18000
16:52:11 917	INFO:开始下载文件到Flash
16:52:11 918	Info:RKA_File_Download start,file=boot,offset=0x8000
16:52:13 156	INFO: Download files to flash finished,Total(6029312)B
16:52:13 158	INFO: Start to check data
16:52:13 166	INFO:开始校验下载数据
16:52:13 166	Info:RKA_File_Check start,file=boot,offset=0x8000
16:52:13 533	INFO:下载文件成功,耗时(1622MS)
16:52:13 538	INFO:执行成功
16:54:35 546	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=10768
16:54:35 547	INFO:开始测试设备
16:54:35 547	INFO:执行开始
16:54:35 553	INFO:测试设备成功
16:54:35 557	INFO:开始下载文件
16:54:35 561	INFO: Start to download files to flash,backup offset=0x18000
16:54:35 565	INFO:开始下载文件到Flash
16:54:35 565	Info:RKA_File_Download start,file=boot,offset=0x8000
16:54:36 798	INFO: Download files to flash finished,Total(6029312)B
16:54:36 799	INFO: Start to check data
16:54:36 808	INFO:开始校验下载数据
16:54:36 809	Info:RKA_File_Check start,file=boot,offset=0x8000
16:54:37 191	INFO:下载文件成功,耗时(1622MS)
16:54:37 201	INFO:执行成功
17:17:16 415	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=12204
17:17:16 417	INFO:开始测试设备
17:17:16 427	INFO:执行开始
17:17:16 438	INFO:测试设备成功
17:17:16 441	INFO:开始下载文件
17:17:16 445	INFO: Start to download files to flash,backup offset=0x18000
17:17:16 449	INFO:开始下载文件到Flash
17:17:16 450	Info:RKA_File_Download start,file=boot,offset=0x8000
17:17:17 676	INFO: Download files to flash finished,Total(6029312)B
17:17:17 677	INFO: Start to check data
17:17:17 689	INFO:开始校验下载数据
17:17:17 690	Info:RKA_File_Check start,file=boot,offset=0x8000
17:17:18 075	INFO:下载文件成功,耗时(1638MS)
17:17:18 080	INFO:执行成功
17:22:02 606	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=11464
17:22:02 607	INFO:开始测试设备
17:22:02 607	INFO:执行开始
17:22:02 617	INFO:测试设备成功
17:22:02 622	INFO:开始下载文件
17:22:02 628	INFO: Start to download files to flash,backup offset=0x18000
17:22:02 635	INFO:开始下载文件到Flash
17:22:02 636	Info:RKA_File_Download start,file=boot,offset=0x8000
17:22:03 867	INFO: Download files to flash finished,Total(6029312)B
17:22:03 868	INFO: Start to check data
17:22:03 876	INFO:开始校验下载数据
17:22:03 876	Info:RKA_File_Check start,file=boot,offset=0x8000
17:22:04 242	INFO:下载文件成功,耗时(1623MS)
17:22:04 249	INFO:执行成功
17:25:11 207	INFO:执行开始
17:25:11 215	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=12520
17:25:11 216	INFO:开始测试设备
17:25:11 222	INFO:测试设备成功
17:25:11 227	INFO:开始下载文件
17:25:11 233	INFO: Start to download files to flash,backup offset=0x18000
17:25:11 238	INFO:开始下载文件到Flash
17:25:11 238	Info:RKA_File_Download start,file=boot,offset=0x8000
17:25:12 459	INFO: Download files to flash finished,Total(6029312)B
17:25:12 460	INFO: Start to check data
17:25:12 464	INFO:开始校验下载数据
17:25:12 465	Info:RKA_File_Check start,file=boot,offset=0x8000
17:25:12 822	INFO:下载文件成功,耗时(1592MS)
17:25:12 894	INFO:执行成功
17:28:43 560	INFO:执行开始
17:28:43 566	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=12312
17:28:43 567	INFO:开始测试设备
17:28:43 573	INFO:测试设备成功
17:28:43 577	INFO:开始下载文件
17:28:43 582	INFO: Start to download files to flash,backup offset=0x18000
17:28:43 586	INFO:开始下载文件到Flash
17:28:43 587	Info:RKA_File_Download start,file=boot,offset=0x8000
17:28:44 825	INFO: Download files to flash finished,Total(6029312)B
17:28:44 826	INFO: Start to check data
17:28:44 830	INFO:开始校验下载数据
17:28:44 831	Info:RKA_File_Check start,file=boot,offset=0x8000
17:28:45 187	INFO:下载文件成功,耗时(1607MS)
17:28:45 192	INFO:执行成功
17:31:01 767	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=12012
17:31:01 768	INFO:开始测试设备
17:31:01 771	INFO:执行开始
17:31:01 786	INFO:测试设备成功
17:31:01 795	INFO:开始下载文件
17:31:01 799	INFO: Start to download files to flash,backup offset=0x18000
17:31:01 822	INFO:开始下载文件到Flash
17:31:01 823	Info:RKA_File_Download start,file=boot,offset=0x8000
17:31:03 050	INFO: Download files to flash finished,Total(6029312)B
17:31:03 050	INFO: Start to check data
17:31:03 055	INFO:开始校验下载数据
