09:27:43 018	Load Setting ok
09:27:43 058	RKAndroidTool v1.3.5.0 Start Run
09:27:43 059	Scan thread:5204
09:27:43 070	ProcessID:5368,ThreadID:2176,RefCount:0
09:27:43 071	ProcessID:5368,ThreadID:5204,RefCount:0
09:27:43 078	Info:(thread=5492)IoControlProc-->DeviceIoControl In
09:27:43 080	Info:(thread=5492)IoControlProc-->DeviceIoControl Out,ret=1,err=183
09:27:43 081	Info:(thread=4992)IoControlProc-->DeviceIoControl In
09:27:43 081	Info:(thread=4992)IoControlProc-->DeviceIoControl Out,ret=1,err=183
09:27:43 091	Info:(thread=4224)IoControlProc-->DeviceIoControl In
09:27:43 092	Info:(thread=4224)IoControlProc-->DeviceIoControl Out,ret=1,err=183
09:27:43 092	Info:(thread=5360)IoControlProc-->DeviceIoControl In
09:27:43 092	Info:(thread=5360)IoControlProc-->DeviceIoControl Out,ret=1,err=183
09:28:05 275	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3328
09:28:05 277	INFO:开始测试设备
09:28:05 278	INFO:执行开始
09:28:05 281	INFO:测试设备成功
09:28:05 283	INFO:开始下载文件
09:28:05 286	INFO: Start to download files to flash,backup offset=0x18000
09:28:05 288	INFO:开始下载文件到Flash
09:28:05 289	Info:RKA_File_Download start,file=boot,offset=0x8000
09:28:06 390	INFO: Download files to flash finished,Total(5330548)B
09:28:06 391	INFO: Start to check data
09:28:06 395	INFO:开始校验下载数据
09:28:06 396	Info:RKA_File_Check start,file=boot,offset=0x8000
09:28:06 720	INFO:下载文件成功,耗时(1435MS)
09:28:06 728	INFO:执行成功
09:28:27 399	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5684
09:28:27 400	INFO:开始测试设备
09:28:27 401	INFO:执行开始
09:28:27 405	INFO:测试设备成功
09:28:27 412	INFO:开始下载文件
09:28:27 417	INFO: Start to download files to flash,backup offset=0x18000
09:28:27 420	INFO:开始下载文件到Flash
09:28:27 420	Info:RKA_File_Download start,file=boot,offset=0x8000
09:28:28 630	INFO: Download files to flash finished,Total(6029312)B
09:28:28 631	INFO: Start to check data
09:28:28 636	INFO:开始校验下载数据
09:28:28 637	Info:RKA_File_Check start,file=boot,offset=0x8000
09:28:29 025	INFO:下载文件成功,耗时(1606MS)
09:28:29 035	INFO:执行成功
10:48:16 049	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5820
10:48:16 050	INFO:开始测试设备
10:48:16 056	INFO:执行开始
10:48:16 077	INFO:测试设备成功
10:48:16 082	INFO:开始下载文件
10:48:16 086	INFO: Start to download files to flash,backup offset=0x18000
10:48:16 090	INFO:开始下载文件到Flash
10:48:16 090	Info:RKA_File_Download start,file=boot,offset=0x8000
10:48:19 454	INFO: Download files to flash finished,Total(6029312)B
10:48:19 455	INFO: Start to check data
10:48:19 457	INFO:开始校验下载数据
10:48:19 458	Info:RKA_File_Check start,file=boot,offset=0x8000
10:48:19 801	INFO:下载文件成功,耗时(3713MS)
10:48:19 806	INFO:执行成功
10:51:39 139	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5716
10:51:39 140	INFO:开始测试设备
10:51:39 141	INFO:执行开始
10:51:39 154	INFO:测试设备成功
10:51:39 158	INFO:开始下载文件
10:51:39 163	INFO: Start to download files to flash,backup offset=0x18000
10:51:39 168	INFO:开始下载文件到Flash
10:51:39 168	Info:RKA_File_Download start,file=boot,offset=0x8000
10:51:40 424	INFO: Download files to flash finished,Total(6029312)B
10:51:40 425	INFO: Start to check data
10:51:40 430	INFO:开始校验下载数据
10:51:40 431	Info:RKA_File_Check start,file=boot,offset=0x8000
10:51:40 800	INFO:下载文件成功,耗时(1638MS)
10:51:40 811	INFO:执行成功
10:58:07 503	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=4568
10:58:07 504	INFO:开始测试设备
10:58:07 506	INFO:执行开始
10:58:07 517	INFO:测试设备成功
10:58:07 522	INFO:开始下载文件
10:58:07 528	INFO: Start to download files to flash,backup offset=0x18000
10:58:07 532	INFO:开始下载文件到Flash
10:58:07 532	Info:RKA_File_Download start,file=boot,offset=0x8000
10:58:08 754	INFO: Download files to flash finished,Total(6029312)B
10:58:08 755	INFO: Start to check data
10:58:08 760	INFO:开始校验下载数据
10:58:08 760	Info:RKA_File_Check start,file=boot,offset=0x8000
10:58:09 162	INFO:下载文件成功,耗时(1638MS)
10:58:09 171	INFO:执行成功
11:03:15 937	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=7000
11:03:15 938	INFO:开始测试设备
11:03:15 939	INFO:执行开始
11:03:15 954	INFO:测试设备成功
11:03:15 963	INFO:开始下载文件
11:03:15 971	INFO: Start to download files to flash,backup offset=0x18000
11:03:15 982	INFO:开始下载文件到Flash
11:03:15 983	Info:RKA_File_Download start,file=boot,offset=0x8000
11:03:17 757	INFO: Download files to flash finished,Total(6029312)B
11:03:17 758	INFO: Start to check data
11:03:17 762	INFO:开始校验下载数据
11:03:17 763	Info:RKA_File_Check start,file=boot,offset=0x8000
11:03:18 127	INFO:下载文件成功,耗时(2153MS)
11:03:18 135	INFO:执行成功
11:06:26 131	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5720
11:06:26 133	INFO:执行开始
11:06:26 142	INFO:开始测试设备
11:06:26 152	INFO:测试设备成功
11:06:26 160	INFO:开始下载文件
11:06:26 167	INFO: Start to download files to flash,backup offset=0x18000
11:06:26 174	INFO:开始下载文件到Flash
11:06:26 174	Info:RKA_File_Download start,file=boot,offset=0x8000
11:06:27 578	INFO: Download files to flash finished,Total(6029312)B
11:06:27 580	INFO: Start to check data
11:06:27 588	INFO:开始校验下载数据
11:06:27 589	Info:RKA_File_Check start,file=boot,offset=0x8000
11:06:28 106	INFO:下载文件成功,耗时(1935MS)
11:06:28 120	INFO:执行成功
11:14:31 483	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3836
11:14:31 485	INFO:开始测试设备
11:14:31 486	INFO:执行开始
11:14:32 506	INFO:测试设备成功
11:14:32 514	INFO:开始下载文件
11:14:32 523	INFO: Start to download files to flash,backup offset=0x18000
11:14:32 532	INFO:开始下载文件到Flash
11:14:32 533	Info:RKA_File_Download start,file=boot,offset=0x8000
11:14:33 760	INFO: Download files to flash finished,Total(6029312)B
11:14:33 762	INFO: Start to check data
11:14:33 783	INFO:开始校验下载数据
11:14:33 783	Info:RKA_File_Check start,file=boot,offset=0x8000
11:14:34 177	INFO:下载文件成功,耗时(1653MS)
11:14:34 188	INFO:执行成功
11:26:17 517	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=7444
11:26:17 519	INFO:开始测试设备
11:26:17 521	INFO:执行开始
11:26:17 538	INFO:测试设备成功
11:26:17 547	INFO:开始下载文件
11:26:17 554	INFO: Start to download files to flash,backup offset=0x18000
11:26:17 559	INFO:开始下载文件到Flash
11:26:17 559	Info:RKA_File_Download start,file=boot,offset=0x8000
11:26:18 794	INFO: Download files to flash finished,Total(6029312)B
11:26:18 795	INFO: Start to check data
11:26:18 805	INFO:开始校验下载数据
11:26:18 806	Info:RKA_File_Check start,file=boot,offset=0x8000
11:26:19 205	INFO:下载文件成功,耗时(1653MS)
11:26:19 217	INFO:执行成功
11:30:05 148	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=4992
11:30:05 150	INFO:开始测试设备
11:30:05 151	INFO:执行开始
11:30:05 168	INFO:测试设备成功
11:30:05 176	INFO:开始下载文件
11:30:05 186	INFO: Start to download files to flash,backup offset=0x18000
11:30:05 192	INFO:开始下载文件到Flash
11:30:05 193	Info:RKA_File_Download start,file=boot,offset=0x8000
11:30:06 423	INFO: Download files to flash finished,Total(6029312)B
11:30:06 424	INFO: Start to check data
11:30:06 427	INFO:开始校验下载数据
11:30:06 428	Info:RKA_File_Check start,file=boot,offset=0x8000
11:30:06 816	INFO:下载文件成功,耗时(1638MS)
11:30:06 828	INFO:执行成功
11:34:48 546	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=7932
11:34:48 548	INFO:开始测试设备
11:34:48 549	INFO:执行开始
11:34:48 566	INFO:测试设备成功
11:34:48 570	INFO:开始下载文件
11:34:48 575	INFO: Start to download files to flash,backup offset=0x18000
11:34:48 578	INFO:开始下载文件到Flash
11:34:48 579	Info:RKA_File_Download start,file=boot,offset=0x8000
11:34:49 820	INFO: Download files to flash finished,Total(6029312)B
11:34:49 821	INFO: Start to check data
11:34:49 832	INFO:开始校验下载数据
11:34:49 833	Info:RKA_File_Check start,file=boot,offset=0x8000
11:34:50 241	INFO:下载文件成功,耗时(1669MS)
11:34:50 251	INFO:执行成功
11:39:03 994	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=6304
11:39:03 995	INFO:开始测试设备
11:39:03 996	INFO:执行开始
11:39:04 010	INFO:测试设备成功
11:39:04 017	INFO:开始下载文件
11:39:04 023	INFO: Start to download files to flash,backup offset=0x18000
11:39:04 028	INFO:开始下载文件到Flash
11:39:04 028	Info:RKA_File_Download start,file=boot,offset=0x8000
11:39:05 258	INFO: Download files to flash finished,Total(6029312)B
11:39:05 259	INFO: Start to check data
11:39:05 268	INFO:开始校验下载数据
11:39:05 269	Info:RKA_File_Check start,file=boot,offset=0x8000
11:39:05 661	INFO:下载文件成功,耗时(1638MS)
11:39:05 671	INFO:执行成功
11:39:51 640	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5064
11:39:51 642	INFO:开始测试设备
11:39:51 643	INFO:执行开始
11:39:51 660	INFO:测试设备成功
11:39:51 665	INFO:开始下载文件
11:39:51 670	INFO: Start to download files to flash,backup offset=0x18000
11:39:51 675	INFO:开始下载文件到Flash
11:39:51 676	Info:RKA_File_Download start,file=boot,offset=0x8000
11:39:52 905	INFO: Download files to flash finished,Total(6029312)B
11:39:52 907	INFO: Start to check data
11:39:52 915	INFO:开始校验下载数据
11:39:52 916	Info:RKA_File_Check start,file=boot,offset=0x8000
11:39:53 298	INFO:下载文件成功,耗时(1638MS)
11:39:53 303	INFO:执行成功
11:46:17 974	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=8436
11:46:17 975	INFO:开始测试设备
11:46:17 976	INFO:执行开始
11:46:17 992	INFO:测试设备成功
11:46:18 000	INFO:开始下载文件
11:46:18 005	INFO: Start to download files to flash,backup offset=0x18000
11:46:18 010	INFO:开始下载文件到Flash
11:46:18 011	Info:RKA_File_Download start,file=boot,offset=0x8000
11:46:19 238	INFO: Download files to flash finished,Total(6029312)B
11:46:19 239	INFO: Start to check data
11:46:19 248	INFO:开始校验下载数据
11:46:19 249	Info:RKA_File_Check start,file=boot,offset=0x8000
11:46:19 646	INFO:下载文件成功,耗时(1638MS)
11:46:19 653	INFO:执行成功
11:53:08 850	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=8648
11:53:08 852	INFO:开始测试设备
11:53:08 853	INFO:执行开始
11:53:08 868	INFO:测试设备成功
11:53:08 879	INFO:开始下载文件
11:53:08 884	INFO: Start to download files to flash,backup offset=0x18000
11:53:08 889	INFO:开始下载文件到Flash
11:53:08 890	Info:RKA_File_Download start,file=boot,offset=0x8000
11:53:10 117	INFO: Download files to flash finished,Total(6029312)B
11:53:10 117	INFO: Start to check data
11:53:10 121	INFO:开始校验下载数据
11:53:10 122	Info:RKA_File_Check start,file=boot,offset=0x8000
11:53:10 514	INFO:下载文件成功,耗时(1638MS)
11:53:10 519	INFO:执行成功
13:02:08 457	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=9588
13:02:08 458	INFO:开始测试设备
13:02:08 458	INFO:执行开始
13:02:08 471	INFO:测试设备成功
13:02:08 478	INFO:开始下载文件
13:02:08 483	INFO: Start to download files to flash,backup offset=0x18000
13:02:08 487	INFO:开始下载文件到Flash
13:02:08 488	Info:RKA_File_Download start,file=boot,offset=0x8000
13:02:09 729	INFO: Download files to flash finished,Total(6029312)B
13:02:09 730	INFO: Start to check data
13:02:09 736	INFO:开始校验下载数据
13:02:09 736	Info:RKA_File_Check start,file=boot,offset=0x8000
13:02:10 068	INFO:下载文件成功,耗时(1575MS)
13:02:10 072	INFO:执行成功
13:04:20 400	INFO:执行开始
13:04:20 404	Image Thread Path(\\?\USB#VID_2207&PID_290A#6&2E2F5DEF&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=9820
13:04:20 405	INFO:开始测试设备
13:04:20 410	INFO:测试设备成功
13:04:20 416	INFO:开始下载文件
13:04:20 420	INFO: Start to download files to flash,backup offset=0x18000
13:04:20 424	INFO:开始下载文件到Flash
13:04:20 425	Info:RKA_File_Download start,file=boot,offset=0x8000
