14:20:00 299	Load Setting ok
14:20:00 344	RKAndroidTool v1.3.5.0 Start Run
14:20:00 345	Scan thread:8184
14:20:00 351	Info:(thread=6696)IoControlProc-->DeviceIoControl In
14:20:00 353	Info:(thread=6696)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:20:00 354	Info:(thread=7220)IoControlProc-->DeviceIoControl In
14:20:00 355	Info:(thread=7220)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:20:00 360	ProcessID:8140,ThreadID:8144,RefCount:0
14:20:00 361	ProcessID:8140,ThreadID:8184,RefCount:0
14:20:00 366	Info:(thread=7256)IoControlProc-->DeviceIoControl In
14:20:00 366	Info:(thread=7256)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:20:00 368	Info:(thread=7260)IoControlProc-->DeviceIoControl In
14:20:00 369	Info:(thread=7260)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:20:43 187	Info:(thread=2492)IoControlProc-->DeviceIoControl In
14:20:43 188	Info:(thread=2492)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:20:46 006	INFO:执行开始
14:20:46 008	Image Thread Path(\\?\USB#VID_2207&PID_290A#7&2ED220D0&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=1620
14:20:46 009	INFO:开始测试设备
14:20:46 076	INFO:测试设备成功
14:20:46 078	INFO:开始下载文件
14:20:46 081	INFO: Start to download files to flash,backup offset=0x18000
14:20:46 084	INFO:开始下载文件到Flash
14:20:46 085	Info:RKA_File_Download start,file=boot,offset=0x8000
14:20:47 312	INFO: Download files to flash finished,Total(6029312)B
14:20:47 312	INFO: Start to check data
14:20:47 316	INFO:开始校验下载数据
14:20:47 319	Info:RKA_File_Check start,file=boot,offset=0x8000
14:20:47 663	INFO:下载文件成功,耗时(1576MS)
14:20:47 667	INFO:执行成功
17:10:39 707	Info:wait for exiting scan thread start
17:10:39 905	Info:wait for exiting main thread start
17:10:39 920	ProcessID:8140,ThreadID:8144,RefCount:0
17:10:39 921	ProcessID:8140,ThreadID:7484,RefCount:0
17:10:39 921	ProcessID:8140,ThreadID:7468,RefCount:0
